ISO,Year,Value
CHL,2006,5.14836112885
CHL,2007,5.0555944190934285
CHL,2008,4.78457945538652
CHL,2009,4.75245197521786
CHL,2010,4.56326381264392
CHL,2011,4.3704224695647405
CHL,2012,4.24321444558909
CHL,2013,4.25164364622965
CHL,2014,4.15013700288457
CHL,2015,4.1035186037139715
CHN,1970,17.608574615975197
CHN,1971,17.6661824140078
CHN,1972,17.5724219925075
CHN,1973,17.1895060798966
CHN,1974,17.116248653527
CHN,1975,16.8304428087453
CHN,1976,17.993526522299398
CHN,1977,17.5444198293924
CHN,1978,17.1516683279634
CHN,1979,16.6117042290829
CHN,1980,15.707689377167402
CHN,1981,15.1378937063906
CHN,1982,14.9658440077984
CHN,1983,15.037911157843402
CHN,1984,14.446395908154301
CHN,1985,13.5256451078501
CHN,1986,13.708446339160002
CHN,1987,13.0769122079686
CHN,1988,12.803955682877
CHN,1989,12.590799781396502
CHN,1990,12.0770138362179
CHN,1991,11.694873212952304
CHN,1992,11.7605455205604
CHN,1993,11.461036025790602
CHN,1994,11.040379437502901
CHN,1995,10.822309366626301
CHN,1996,10.183056273196199
CHN,1997,9.470541718199133
CHN,1998,9.04598858892581
CHN,1999,8.64842106295188
CHN,2000,8.14193047618552
CHN,2001,7.9038991882331215
CHN,2002,7.67374243748421
CHN,2003,7.68992695661011
CHN,2004,7.707412869568598
CHN,2005,7.37246827303939
CHN,2006,7.15719389257308
CHN,2007,6.76596317807407
CHN,2008,6.419885690337419
CHN,2009,6.5789152809747895
CHN,2010,6.645417489817259
CHN,2011,6.56622678863889
CHN,2012,6.33865494550215
CHN,2013,6.14524945745219
CHN,2014,5.86249620066234
CHN,2015,5.64922259773785
COL,1970,2.45615034233082
COL,1971,2.4000784867517404
COL,1972,2.33392443694781
COL,1973,2.30541131703888
COL,1974,2.34584405520515
COL,1975,2.43372616323623
COL,1976,2.44011078674582
COL,1977,2.31697839132611
COL,1978,2.2999867151142
COL,1979,2.2397158345096804
COL,1980,2.1879506531170403
COL,1981,2.1503374708688
COL,1982,2.16740698377794
COL,1983,2.1145131396218897
COL,1984,2.19857565321338
COL,1985,2.25275747411219
COL,1986,2.2445688664462
COL,1987,2.00582594687921
COL,1988,2.0851849376787497
COL,1989,2.09771327084674
COL,1990,2.05246419715487
COL,1991,1.99465232104506
COL,1992,1.99502785911
COL,1993,1.93117212585566
COL,1994,1.93962205003333
COL,1995,1.92263967092479
COL,1996,1.88969185855917
COL,1997,1.8129499034233896
COL,1998,1.78124820978306
COL,1999,1.90456546035378
COL,2000,1.9328089372154496
COL,2001,1.675807223376
COL,2002,1.63854797208125
COL,2003,1.77106084545714
COL,2004,1.70979740697786
COL,2005,1.7602844097040802
COL,2006,1.59470162246218
COL,2007,1.5342770196928102
COL,2008,1.54410575583121
COL,2009,1.54035969860057
COL,2010,1.48653786237049
COL,2011,1.49941754877487
COL,2012,1.47728246798719
COL,2013,1.4150616437615
COL,2014,1.41930819293874
COL,2015,1.4049782535131
COM,1970,3.63299646752505
COM,1971,3.54847626118725
COM,1972,3.32147445668841
COM,1973,3.5079244491059702
COM,1974,3.3940893838935096
COM,1975,2.98651387946492
COM,1976,3.09673142384517
COM,1977,2.96494863299112
COM,1978,3.0321283656852995
COM,1979,2.8019484270381003
COM,1980,2.417504460779
COM,1981,2.2715064390455098
COM,1982,2.1582330390290703
COM,1983,2.07251341438998
COM,1984,1.99797653292721
COM,1985,1.9283166957056697
COM,1986,1.99805843906616
COM,1987,1.98937983975254
COM,1988,2.0322888417746
COM,1989,2.12169924360878
COM,1990,2.27394675085705
COM,1991,2.2916957293232096
COM,1992,2.30511399256362
COM,1993,2.25224760871468
COM,1994,2.27121154953109
COM,1995,3.58821643264583
COM,1996,3.14777268192333
COM,1997,3.0348127155165
COM,1998,3.2162371516073103
COM,1999,3.3206226428130496
COM,2000,3.3392401397076403
COM,2001,3.00395362194331
COM,2002,3.0990955712178905
COM,2003,3.1441833827128702
COM,2004,3.9581135437402897
COM,2005,4.56802309857509
COM,2006,4.07230600193337
COM,2007,2.53249916342156
COM,2008,3.16281910484202
COM,2009,4.40331738019782
COM,2010,13.7381428958853
COM,2011,4.40364112867327
COM,2012,4.57311269745262
COM,2013,4.630715693216612
COM,2014,4.71306934600518
COM,2015,4.964681814562098
COG,1970,2.51060454246996
COG,1971,2.6758474881085497
COG,1972,2.52191617378845
COG,1973,2.32839227377663
COG,1974,2.05590935490566
COG,1975,2.11483664890237
COG,1976,2.11204508506052
COG,1977,2.02071751308245
COG,1978,1.7599098814488998
COG,1979,1.75609763185547
COG,1980,1.58915601877467
COG,1981,1.35476274529036
COG,1982,1.22912603682193
COG,1983,1.07704427386103
COG,1984,1.29799907760583
COG,1985,1.21019671075452
COG,1986,1.44374566358069
COG,1987,1.2659359942801798
COG,1988,1.27626008744601
COG,1989,1.33588254515269
COG,1990,1.26424982308196
COG,1991,1.2317869357053102
COG,1992,1.17857789245503
COG,1993,1.20261485110474
COG,1994,1.33219326098756
COG,1995,1.24171133010746
COG,1996,1.19419570087342
COG,1997,1.23753726863666
COG,1998,1.29617574638491
COG,1999,1.33346230418727
COG,2000,1.32903375427173
COG,2001,1.4472894596793402
COG,2002,1.47537977687573
COG,2003,1.55410410373908
COG,2004,1.59627762557115
COG,2005,1.56437823363646
COG,2006,1.5100474791983205
COG,2007,1.71271509360616
COG,2008,1.71893578270436
COG,2009,1.61941049642486
COG,2010,1.33203540434617
COG,2011,1.93388820718431
COG,2012,1.88508770005968
COG,2013,1.86154412976086
COG,2014,1.84871343952118
COG,2015,1.86313617911786
CRI,1970,2.55807501574943
CRI,1971,2.50766304019774
CRI,1972,2.437457481494
CRI,1973,2.39945210052094
CRI,1974,2.249502963113529
CRI,1975,2.4348057445675697
CRI,1976,2.41695167628273
CRI,1977,2.36966819332921
CRI,1978,2.3212536731036497
CRI,1979,2.2872640904606096
CRI,1980,2.25365528742554
CRI,1981,2.15448713313434
CRI,1982,2.1863883633314
CRI,1983,2.2210128576751096
CRI,1984,2.2614552235707204
CRI,1985,2.37171821607169
CRI,1986,2.30742867964654
CRI,1987,2.2433575020189305
CRI,1988,2.15182708186631
CRI,1989,2.18831336340125
CRI,1990,2.16457202862535
CRI,1991,2.2829699027194
CRI,1992,2.1364515414645298
CRI,1993,2.1155620345860497
CRI,1994,2.31960788801196
CRI,1995,2.17549632881011
CRI,1996,2.40124417027794
CRI,1997,2.19722657269981
CRI,1998,2.13925305876062
CRI,1999,2.06720336680823
CRI,2000,1.9058666966383304
CRI,2001,1.8917571334698704
CRI,2002,1.77381349273478
CRI,2003,1.82713834876456
CRI,2004,1.8200997925427904
CRI,2005,1.72972920881324
CRI,2006,2.00695347861682
CRI,2007,1.8840336291601203
CRI,2008,1.7235844285963795
CRI,2009,1.66847946695167
CRI,2010,1.55459170490846
CRI,2011,1.52585104473432
CRI,2012,1.3974576862503
CRI,2013,1.40429958462894
CRI,2014,1.39079486229064
CRI,2015,1.3602112039113798
CYP,1970,1.41279793813407
CYP,1971,1.36974300137954
CYP,1972,1.33582050496769
CYP,1973,1.55020396682122
CYP,1974,1.33969916541608
CYP,1975,0.901925177414205
CYP,1976,1.08471272807816
CYP,1977,1.02681434909273
CYP,1978,1.3707110928106103
CYP,1979,1.32199084511876
CYP,1980,1.32139912497322
CYP,1981,1.31188040271326
CYP,1982,1.22187257481665
CYP,1983,1.241862858514
CYP,1984,1.19266984229945
CYP,1985,1.1849760202866002
CYP,1986,1.08764811183358
CYP,1987,0.957905560972482
CYP,1988,0.92056354896754
CYP,1989,1.06597028747707
CYP,1990,0.94922295821523
CYP,1991,1.08657616255869
CYP,1992,1.10066471717508
CYP,1993,1.1473138135344698
CYP,1994,0.86434789973055
CYP,1995,0.8572039069320451
CYP,1996,0.844951440457288
CYP,1997,0.7223728977083571
CYP,1998,1.03637371619821
CYP,1999,1.08443542579253
CYP,2000,1.06524432476666
CYP,2001,1.08694904242551
CYP,2002,1.15629695327803
CYP,2003,1.1708270340646898
CYP,2004,1.19678472996856
CYP,2005,1.20022052815398
CYP,2006,1.15127945536263
CYP,2007,1.1763771600451598
CYP,2008,1.21612622864048
CYP,2009,1.02910502292298
CYP,2010,1.08801297941641
CYP,2011,1.00016429344266
CYP,2012,1.03591067402041
CYP,2013,1.06378971560376
CYP,2014,1.11219380277597
CYP,2015,1.12449253077493
DNK,1970,0.66259382442
DNK,1971,0.6349770558511629
DNK,1972,0.620773051361194
DNK,1973,0.634083016721583
DNK,1974,0.6087893466855071
DNK,1975,0.595015111303897
DNK,1976,0.5945497844504859
DNK,1977,0.638229958226027
DNK,1978,0.60652148861
DNK,1979,0.5919196426537421
DNK,1980,0.540616974970968
DNK,1981,0.502268972606948
DNK,1982,0.508715624362893
DNK,1983,0.465657989939264
DNK,1984,0.482556194607235
DNK,1985,0.4849721677026551
DNK,1986,0.474208768769892
DNK,1987,0.462684697258064
DNK,1988,0.44213466814069896
DNK,1989,0.457782685175936
DNK,1990,0.428929292273
DNK,1991,0.418083007297928
DNK,1992,0.3886792075284261
DNK,1993,0.416914550030457
DNK,1994,0.40881158732705297
DNK,1995,0.420628766466197
DNK,1996,0.4161059340077271
DNK,1997,0.4166598597392071
DNK,1998,0.5310701742443971
DNK,1999,0.555563671079916
DNK,2000,0.5019119250862899
DNK,2001,0.487295520548
DNK,2002,0.467433004110757
DNK,2003,0.4675493840591271
DNK,2004,0.490515579531395
DNK,2005,0.521322434451136
DNK,2006,0.482621611524364
DNK,2007,0.465514697704693
DNK,2008,0.453154279094928
DNK,2009,0.3858211607835879
DNK,2010,0.358509423379026
DNK,2011,0.395352305062731
DNK,2012,0.368950024000738
DNK,2013,0.365170218450365
DNK,2014,0.348655996679928
DNK,2015,0.3335727890039929
DOM,1970,3.64570426964821
DOM,1971,3.49131778081517
DOM,1972,3.39623678260716
DOM,1973,3.0444893300953706
DOM,1974,2.96468811610702
DOM,1975,2.85024149453836
DOM,1976,3.2443678201335
DOM,1977,3.19880260793599
DOM,1978,3.04965516483356
DOM,1979,2.85529350762716
DOM,1980,2.58800353680317
