SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Food Waste Sector,Nature,Observation Status,Reporting Type,Units
AG_FOOD_WST,Food waste (Tonnes),92,British Virgin Islands,2019,384.33928,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),92,British Virgin Islands,2019,767.11254,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),96,Brunei Darussalam,2019,5551.14038,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),96,Brunei Darussalam,2019,34739.48235,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),96,Brunei Darussalam,2019,11079.66212,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),100,Bulgaria,2019,478667.29649,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),100,Bulgaria,2019,193539.28677,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),100,Bulgaria,2019,109483.16419,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),104,Myanmar,2019,4666124.54732,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),104,Myanmar,2019,1494251.24917,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),104,Myanmar,2019,845282.4105,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),108,Burundi,2019,1184127.26777,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),108,Burundi,2019,318798.8886,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),108,Burundi,2019,180341.21984,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
