ISO,Year,Value,Variable,Description,Source,URL
SUR,2019,26.47,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SJM,2019,18.52,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SWZ,2019,90.74,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SWE,2019,62.4,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
CHE,2019,88.52,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SYR,2019,31.73,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TWN,2019,130.25,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TJK,2019,50.68,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TZA,2019,40.96,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
THA,2019,58.73,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TLS,2019,91.12,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TGO,2019,35.77,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TKL,2019,384.59,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TON,2019,175.09,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TTO,2019,26.32,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TUN,2019,15.16,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TUR,2019,35.62,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TKM,2019,11.4,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TCA,2019,177.28,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
TUV,2019,289.29,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
UGA,2019,52.94,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
UKR,2019,73.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ARE,2019,14.22,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GBR,2019,104.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
USA,2019,59.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
URY,2019,34.39,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
UZB,2019,14.42,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VUT,2019,143.67,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VEN,2019,49.33,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VNM,2019,33.28,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VGB,2019,135.53,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VIR,2019,71.51,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
WLF,2019,168.05,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ESH,2019,15.69,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
YEM,2019,15.96,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ZMB,2019,36.24,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ZWE,2019,27.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
