ISO,Value,Year,Variable,Description,Source,URL,From
TUN,1.637,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
TUR,87.99600000000001,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
UGA,1.65,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
UKR,51.269,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ARE,11.05,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GBR,114.453,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
TZA,3.035,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
USA,755.641,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
URY,10.143,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
UZB,2.991,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
VEN,15.191,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
VNM,146.39,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ZMB,11.447999999999999,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ZWE,0.21,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
