ISO,Year,Indicator,Description,Source,URL,From,Imputed,Value,Corrected,Country
BRA,2002,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.14,False,Brazil
BRA,2003,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.125,True,Brazil
BRA,2004,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.11,False,Brazil
BRA,2005,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.08,False,Brazil
BRA,2006,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.07,False,Brazil
BRA,2007,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.1,False,Brazil
BRA,2008,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.08,False,Brazil
BRA,2009,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.0750000000000002,True,Brazil
BRA,2010,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.07,False,Brazil
BRA,2011,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.08,False,Brazil
BRA,2012,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.12,False,Brazil
BRA,2013,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.12,False,Brazil
BRA,2014,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.12,False,Brazil
BRA,2015,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.15,False,Brazil
BRA,2016,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.16,False,Brazil
BRA,2017,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.16,False,Brazil
BRA,2018,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.14,False,Brazil
BRA,2019,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.13,False,Brazil
BRA,2020,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,True,1.13,False,Brazil
CAN,2000,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.95,True,Canada
CAN,2001,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.95,False,Canada
CAN,2002,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.95,False,Canada
CAN,2003,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.95,False,Canada
CAN,2004,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.95,False,Canada
CAN,2005,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.93,False,Canada
CAN,2006,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.87,False,Canada
CAN,2007,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.88,False,Canada
CAN,2008,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.83,False,Canada
CAN,2009,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.8,False,Canada
CAN,2010,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.76,False,Canada
CAN,2011,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.72,False,Canada
CAN,2012,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.74,False,Canada
CAN,2013,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.75,False,Canada
CAN,2014,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.73,False,Canada
CAN,2015,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.71,False,Canada
CAN,2016,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.68,False,Canada
CAN,2017,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.65,False,Canada
