ISO,Description,Year,Value,Variable,Source,URL,From
ARG,Total material footprint (MF) per capita,1994,12.6886788439902,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,1995,12.2427397679279,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,1996,12.2759111085212,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,1997,13.1906979872308,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,1998,14.3391085233651,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,1999,14.026781067284,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2000,13.2738720602304,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2001,12.5256678169176,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2002,8.4968675839336,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2003,9.28870573141501,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2004,9.96087353956792,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
ARG,Total material footprint (MF) per capita,2005,11.0615363082302,ME2,U.N. Environment: Secretariat of the International Resource Panel,https://www.resourcepanel.org/global-material-flows-database,MANUAL
