Year,ISO,Value,Variable,Description,Source,URL,From
2000,NLD,4.247734594511001,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NCL,0.599547725068285,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NZL,2.3995703518095715,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NIC,0.21489148638711192,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NER,0.40182820029566946,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NGA,0.02012659320832074,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,MKD,1.183376476761362,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,NOR,2.0920804581356154,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,OMN,0.11558307994295199,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PAN,1.97033424354002,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PNG,0.24677922096526422,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PRY,0.07187580988951439,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PER,0.40383599270404624,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PHL,0.8424033686825181,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,POL,3.9202114688042524,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,PRT,4.818813975382997,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,QAT,0.6613541409915531,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,KOR,3.3214827669094396,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,MDA,3.366933919016872,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,ROU,1.9881305676453445,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,RUS,1.8900519976855026,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,KNA,0.5819278308446121,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,LCA,2.2655528210928244,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,VCT,0.8294003881624258,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,STP,0.2657721957776777,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SAU,0.22057381923223404,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SEN,1.278593074377368,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SCG,3.584123188126288,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
2000,SYC,0.023877634244519677,GT1,Share of export of environmental goods (OECD and APEC classifications) to total export (%),UNCOMTRADE data and OECD and APEC classifications of environmental goods,https://comtrade.un.org/data/,MANUAL
