ISO,Year,Value,Description,Source,URL,DownloadDate,Variable,From
ALB,2006,4030000.0000000005,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2007,4200000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2008,4150000.0000000005,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2009,4300000.000000001,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2010,4560000.000000001,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2011,5020000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2012,4550000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2013,4780000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2014,5200000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2015,5040000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2016,4899999.999999999,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2017,5569999.999999999,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
ALB,2018,5529999.999999999,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1990,410000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1991,410000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1992,410000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1993,410000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1994,410000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1995,430000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1996,450000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1997,470000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1998,490000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,1999,510000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2000,520000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2001,520000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AND,2002,530000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
